rank,stock_name,stock_code,sector,score,current_price,priority,entry_action,entry_guide,take_profit_guide,stop_loss_guide,do_not_chase,check_points
1,제주은행,,AI/소프트웨어,90,"12,340",A: 우선 감시,정상,"12,093~12,402원 구간에서 거래량/지지 확인 후 분할 진입","1차 12,957원(+5%), 2차 13,327원(+8%) 부근 분할 익절 검토","11,846원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
2,TIGER 미국배당다우존스,,AI/소프트웨어,81,"15,765",B: 조건부 감시,정상,"15,450~15,844원 구간에서 거래량/지지 확인 후 분할 진입","1차 16,553원(+5%), 2차 17,026원(+8%) 부근 분할 익절 검토","15,134원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
3,ACE 미국우주테크액티브,,AI/소프트웨어,76,"24,850",C: 관찰,정상,"24,353~24,974원 구간에서 거래량/지지 확인 후 분할 진입","1차 26,092원(+5%), 2차 26,838원(+8%) 부근 분할 익절 검토","23,856원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
4,라이콤,,AI/소프트웨어,82,"7,420",B: 조건부 감시,정상,"7,272~7,457원 구간에서 거래량/지지 확인 후 분할 진입","1차 7,791원(+5%), 2차 8,014원(+8%) 부근 분할 익절 검토","7,123원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
5,디아이씨,,AI/소프트웨어,77,"9,940",C: 관찰,정상,"9,741~9,990원 구간에서 거래량/지지 확인 후 분할 진입","1차 10,437원(+5%), 2차 10,735원(+8%) 부근 분할 익절 검토","9,542원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
6,RISE 200위클리커버드콜,,AI/소프트웨어,68,"14,305",C: 관찰,정상,"14,019~14,377원 구간에서 거래량/지지 확인 후 분할 진입","1차 15,020원(+5%), 2차 15,449원(+8%) 부근 분할 익절 검토","13,733원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
7,KODEX 200미국채혼합,,AI/소프트웨어,66,"23,325",C: 관찰,정상,"22,858~23,442원 구간에서 거래량/지지 확인 후 분할 진입","1차 24,491원(+5%), 2차 25,191원(+8%) 부근 분할 익절 검토","22,392원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
8,미래에셋생명,,AI/소프트웨어,75,"19,870",C: 관찰,정상,"19,473~19,969원 구간에서 거래량/지지 확인 후 분할 진입","1차 20,864원(+5%), 2차 21,460원(+8%) 부근 분할 익절 검토","19,075원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
9,SK네트웍스,,AI/소프트웨어,65,"13,050",C: 관찰,정상,"12,789~13,115원 구간에서 거래량/지지 확인 후 분할 진입","1차 13,702원(+5%), 2차 14,094원(+8%) 부근 분할 익절 검토","12,528원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
10,TIGER 미국나스닥100타겟데일리커버드콜,,AI/소프트웨어,64,"12,040",C: 관찰,정상,"11,799~12,100원 구간에서 거래량/지지 확인 후 분할 진입","1차 12,642원(+5%), 2차 13,003원(+8%) 부근 분할 익절 검토","11,558원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
