stock_name,stock_code,current_price,price_source,fetched_at
금호타이어,073240,4585.0,naver_finance,2026-06-11 03:39:15 KST
대창솔루션,096350,1921.0,naver_finance,2026-06-11 03:39:16 KST
대한해운,005880,1920.0,naver_finance,2026-06-11 03:39:17 KST
에코플라스틱,038110,2210.0,naver_finance,2026-06-11 03:39:19 KST
태림포장,011280,1790.0,naver_finance,2026-06-11 03:39:20 KST
태웅,044490,31500.0,naver_finance,2026-06-11 03:39:21 KST
HANARO K휴머노이드테마TOP10,0155N0,9450.0,naver_finance,2026-06-11 03:39:22 KST
LG유플러스,032640,14730.0,naver_finance,2026-06-11 03:39:23 KST
TIGER K방산&우주,463250,38660.0,naver_finance,2026-06-11 03:39:25 KST
컴퍼니케이,307930,7410.0,naver_finance,2026-06-11 03:39:26 KST
