순위,종목명,섹터/분야,현재가,진입판정,공격진입가,기준진입가,보수진입가,돌파진입가,손절기준가
1,TIGER 미국배당다우존스,AI/소프트웨어,15670,조건 확인 후 진입,15592,15357,14886,16140,14730
2,RISE 200위클리커버드콜,AI/소프트웨어,14200,조건 확인 후 진입,14129,13916,13490,14626,13348
3,한켐,화학,13050,조건 확인 후 진입,12985,12789,12398,13442,12267
4,라이콤,반도체/전자부품,6750,조건 확인 후 진입,6716,6615,6412,6952,6345
5,TIGER 미국S&P500,AI/소프트웨어,28170,조건 확인 후 진입,28029,27607,26762,29015,26480
6,KODEX 미국S&P500,AI/소프트웨어,25695,조건 확인 후 진입,25567,25181,24410,26466,24153
7,KODEX 미국나스닥100,AI/소프트웨어,29585,조건 확인 후 진입,29437,28993,28106,30473,27810
8,KODEX 200타겟위클리커버드콜,AI/소프트웨어,23595,조건 확인 후 진입,23477,23123,22415,24303,22179
9,TIGER 배당커버드콜액티브,AI/소프트웨어,23315,조건 확인 후 진입,23198,22849,22149,24014,21916
10,SK네트웍스,도매,14170,조건 확인 후 진입,14099,13887,13462,14595,13320
11,TIGER 미국나스닥100타겟데일리커버드콜,AI/소프트웨어,11980,조건 확인 후 진입,11920,11740,11381,12339,11261
12,디아이씨,자동차/부품,10110,조건 확인 후 진입,10059,9908,9604,10413,9503
13,대원제약,제약/바이오,12400,조건 확인 후 진입,12338,12152,11780,12772,11656
14,LG유플러스,통신,15720,조건 확인 후 진입,15641,15406,14934,16192,14777
15,알트,반도체/전자부품,2020,조건 확인 후 진입,2010,1980,1919,2081,1899
