recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status,signal_id,snapshot_date,snapshot_time,recommendation_model,recommendation_model_name,entry_model,entry_price,source,observed_count,latest_observed_price,latest_observed_at,max_observed_price,min_observed_price,max_return_pct,min_return_pct,days_elapsed,note
,,AM,15,SOL AI반도체소부장,,반도체,54.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,1,ACE 미국우주테크액티브,,금융,99.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,86.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,3,LG헬로비전,,미디어/콘텐츠,98.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,4,TIGER LG그룹플러스,,AI/소프트웨어,90.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,5,코칩,,반도체/전자부품,85.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,6,라이콤,,반도체/전자부품,80.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,7,아바텍,,반도체/전자부품,75.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,67.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,9,SK네트웍스,,도매,71.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,10,미래에셋생명,,보험,77.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,11,후성,,화학,69.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,12,TIGER 미국배당다우존스,,AI/소프트웨어,60.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,13,KODEX 미국S&P500,,AI/소프트웨어,58.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,14,TIGER 미국S&P500,,AI/소프트웨어,57.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,15,SOL AI반도체소부장,,반도체,54.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,1,ACE 미국우주테크액티브,,금융,99.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,86.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,3,LG헬로비전,,미디어/콘텐츠,98.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,4,TIGER LG그룹플러스,,AI/소프트웨어,90.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,5,코칩,,반도체/전자부품,85.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,6,라이콤,,반도체/전자부품,80.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,7,아바텍,,반도체/전자부품,75.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,67.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,9,SK네트웍스,,도매,71.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,10,미래에셋생명,,보험,77.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,11,후성,,화학,69.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,12,TIGER 미국배당다우존스,,AI/소프트웨어,60.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,13,KODEX 미국S&P500,,AI/소프트웨어,58.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,14,TIGER 미국S&P500,,AI/소프트웨어,57.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,15,SOL AI반도체소부장,,반도체,54.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,1,ACE 미국우주테크액티브,,금융,99.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,86.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,3,LG헬로비전,,미디어/콘텐츠,98.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,4,TIGER LG그룹플러스,,AI/소프트웨어,90.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,5,코칩,,반도체/전자부품,85.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,6,라이콤,,반도체/전자부품,80.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,7,아바텍,,반도체/전자부품,75.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,67.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,9,SK네트웍스,,도매,71.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,10,미래에셋생명,,보험,77.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,11,후성,,화학,69.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,12,TIGER 미국배당다우존스,,AI/소프트웨어,60.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,13,KODEX 미국S&P500,,AI/소프트웨어,58.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,14,TIGER 미국S&P500,,AI/소프트웨어,57.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,AM,15,SOL AI반도체소부장,,반도체,54.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,1,ACE 미국우주테크액티브,,금융,97.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,83.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,3,KODEX 삼성전자채권혼합,,AI/소프트웨어,83.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,4,TIGER 은행고배당플러스TOP10,,AI/소프트웨어,81.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,5,TIGER LG그룹플러스,,AI/소프트웨어,86.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,6,1Q K반도체TOP2+,,반도체/전자부품,70.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,7,SK네트웍스,,도매,69.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,8,진양화학,,고무/플라스틱,69.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,9,M83,,미디어/콘텐츠,66.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,10,후성,,화학,65.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,11,TIGER 배당커버드콜액티브,,AI/소프트웨어,57.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,12,KODEX 미국S&P500,,AI/소프트웨어,54.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,13,TIGER 미국S&P500,,AI/소프트웨어,54.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,14,LG디스플레이,,반도체/전자부품,59.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
,,PM,15,SOL AI반도체소부장,,반도체,50.0,,,,,,,,,,,TRACKING,,,,,,,,,,,,,,,,,
2026-06-04_PM_1_컴퍼니케이,2026-06-04,PM,1,컴퍼니케이,,금융,99.0,"9,530","9,530",2026-06-05 03:23:08,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-04_PM_2_TIGER 미국배당다우존스,2026-06-04,PM,2,TIGER 미국배당다우존스,,AI/소프트웨어,84.0,"15,650","15,585",2026-06-11 03:38:05,7.0,-0.42%,1.47%,1.47%,0.13%,1.47%,-0.89%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-04_PM_3_RISE AI&로봇,2026-06-04,PM,3,RISE AI&로봇,,AI/소프트웨어,89.0,"16,635","16,635",2026-06-05 03:23:08,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-04_PM_4_TIGER LG그룹플러스,2026-06-04,PM,4,TIGER LG그룹플러스,,AI/소프트웨어,85.0,"15,800","15,140",2026-06-07 04:37:24,3.0,-4.18%,0.00%,-4.18%,,0.00%,-7.56%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-04_PM_5_샘씨엔에스,2026-06-04,PM,5,샘씨엔에스,,반도체/전자부품,76.0,"13,850","14,420",2026-06-12 04:12:51,8.0,4.12%,0.00%,-2.17%,-2.17%,4.12%,-2.17%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-04_PM_6_TIGER 2차전지TOP10,2026-06-04,PM,6,TIGER 2차전지TOP10,,AI/소프트웨어,68.0,"12,325","12,325",2026-06-05 03:23:08,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-04_PM_7_SOL 반도체전공정,2026-06-04,PM,7,SOL 반도체전공정,,반도체,75.0,"26,470","27,735",2026-06-12 04:12:51,8.0,4.78%,0.00%,-7.56%,-7.56%,4.78%,-7.56%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-04_PM_8_KODEX 2차전지산업,2026-06-04,PM,8,KODEX 2차전지산업,,AI/소프트웨어,67.0,"18,830","18,830",2026-06-05 03:23:08,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-04_PM_9_LG헬로비전,2026-06-04,PM,9,LG헬로비전,,미디어/콘텐츠,78.0,"2,740","2,365",2026-06-10 02:57:04,6.0,-13.69%,0.00%,-7.85%,-14.05%,0.00%,-14.05%,complete_5d,,,,,,,,,,,,,,,,,
