상태,종목명,종목코드,보유수량,평균단가,매수일,전략구분,목표가,손절가,비중메모,메모
보유중,금호타이어,73240,25,4865,2026-05-25,수동캡처,,,,snapshot_20260604 current_price=4810 eval=120250 pnl=-1375
보유중,대창솔루션,96350,60,2800,2026-05-25,수동캡처,,,,snapshot_20260604 current_price=2060 eval=123600 pnl=-44400
보유중,대한해운,5880,41,2519,2026-05-25,수동캡처,,,,snapshot_20260604 current_price=2050 eval=84050 pnl=-19240
보유중,에코플라스틱,38110,51,3750,2026-05-25,수동캡처,,,,snapshot_20260604 current_price=2470 eval=125970 pnl=-65330
보유중,태림포장,11280,40,2100,2026-05-25,수동캡처,,,,snapshot_20260604 current_price=1812 eval=72480 pnl=-11520
보유중,태웅,44490,4,40500,2026-05-25,수동캡처,,,,snapshot_20260604 current_price=34150 eval=136600 pnl=-25400
보유중,HANARO K휴머노이드테마TOP10,0155N0,4,11000,2026-05-25,수동캡처,,,,snapshot_20260604 current_price=11430 eval=45720 pnl=1720
보유중,LG유플러스,32640,3,15400,2026-06-04,수동매수,,,,purchase_completed_screenshot current_price=15500 eval=46500 pnl=300
보유중,TIGER K방산&우주,463250,4,44500,2026-05-25,수동캡처,,,,snapshot_20260604 current_price=38940 eval=155760 pnl=-22240
보유중,컴퍼니케이,307930,3,9150,2026-06-05,수동매수,,,,
