rank,stock_name,stock_code,score,sector,signal,memo
1,컴퍼니케이,,99,금융,618750,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
2,TIGER 미국배당다우존스,,82,AI/소프트웨어,512499,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인. 오늘 TOP5권이라 우선순위 높음.
3,RISE AI&로봇,,87,AI/소프트웨어,543750,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인. 오늘 TOP5권이라 우선순위 높음.
4,TIGER LG그룹플러스,,81,AI/소프트웨어,506250,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인. 오늘 TOP5권이라 우선순위 높음.
5,SOL 반도체전공정,,75,반도체,468750,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
6,KODEX 2차전지산업,,66,AI/소프트웨어,412500,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
7,샘씨엔에스,,73,반도체/전자부품,456250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
8,LG디스플레이,,68,반도체/전자부품,425000,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
9,KODEX 200타겟위클리커버드콜,,58,AI/소프트웨어,362500,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
10,KODEX 200미국채혼합,,58,AI/소프트웨어,362500,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
11,LG헬로비전,,64,미디어/콘텐츠,400000,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
12,KODEX 미국S&P500,,56,AI/소프트웨어,350000,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
13,TIGER 배당커버드콜액티브,,56,AI/소프트웨어,350000,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
14,TIGER 미국S&P500,,55,AI/소프트웨어,343750,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
15,TIGER 2차전지TOP10,,55,AI/소프트웨어,343750,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
