recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status
2026-06-04_PM_1_컴퍼니케이,2026-06-04,PM,1,컴퍼니케이,,금융,99,"9,530","9,530",2026-06-05 03:23:08,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-04_PM_2_TIGER 미국배당다우존스,2026-06-04,PM,2,TIGER 미국배당다우존스,,AI/소프트웨어,84,"15,650","15,650",2026-06-04 16:00:00,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-04_PM_3_RISE AI&로봇,2026-06-04,PM,3,RISE AI&로봇,,AI/소프트웨어,89,"16,635","16,635",2026-06-05 03:23:08,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-04_PM_4_TIGER LG그룹플러스,2026-06-04,PM,4,TIGER LG그룹플러스,,AI/소프트웨어,85,"15,800","15,800",2026-06-05 03:23:08,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-04_PM_5_샘씨엔에스,2026-06-04,PM,5,샘씨엔에스,,반도체/전자부품,76,"13,850","13,850",2026-06-05 03:23:08,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-04_PM_6_TIGER 2차전지TOP10,2026-06-04,PM,6,TIGER 2차전지TOP10,,AI/소프트웨어,68,"12,325","12,325",2026-06-05 03:23:08,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-04_PM_7_SOL 반도체전공정,2026-06-04,PM,7,SOL 반도체전공정,,반도체,75,"26,470","26,470",2026-06-05 03:23:08,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-04_PM_8_KODEX 2차전지산업,2026-06-04,PM,8,KODEX 2차전지산업,,AI/소프트웨어,67,"18,830","18,830",2026-06-05 03:23:08,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-04_PM_9_LG헬로비전,2026-06-04,PM,9,LG헬로비전,,미디어/콘텐츠,78,"2,740","2,740",2026-06-05 03:23:08,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-04_PM_10_LG디스플레이,2026-06-04,PM,10,LG디스플레이,,반도체/전자부품,69,"16,120","16,120",2026-06-05 03:23:08,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
