stock_name,stock_code,decision,entry_or_add_guide,take_profit_1,take_profit_2,stop_loss,sell_guide,price_match_status
금호타이어,073240,HOLD,추가매수는 손절가 아래 금지. 재추천/거래량 증가/지지 확인 시만 분할 접근.,5254.2,5594.75,4524.45,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,matched_by_code
대창솔루션,096350,HOLD,추가매수는 손절가 아래 금지. 재추천/거래량 증가/지지 확인 시만 분할 접근.,3024.0,3220.0,2604.0,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,matched_by_code
대한해운,005880,HOLD,추가매수는 손절가 아래 금지. 재추천/거래량 증가/지지 확인 시만 분할 접근.,2720.52,2896.85,2342.67,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,matched_by_code
에코플라스틱,038110,HOLD,추가매수는 손절가 아래 금지. 재추천/거래량 증가/지지 확인 시만 분할 접근.,4050.0,4312.5,3487.5,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,matched_by_code
태림포장,011280,HOLD,추가매수는 손절가 아래 금지. 재추천/거래량 증가/지지 확인 시만 분할 접근.,2268.0,2415.0,1953.0,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,matched_by_code
태웅,044490,HOLD,추가매수는 손절가 아래 금지. 재추천/거래량 증가/지지 확인 시만 분할 접근.,43740.0,46575.0,37665.0,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,matched_by_code
HANARO K휴머노이드테마TOP10,0155N0,HOLD,추가매수는 손절가 아래 금지. 재추천/거래량 증가/지지 확인 시만 분할 접근.,11880.0,12650.0,10230.0,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,matched_by_code
LG유플러스,032640,HOLD,추가매수는 손절가 아래 금지. 재추천/거래량 증가/지지 확인 시만 분할 접근.,16632.0,17710.0,14322.0,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,matched_by_code
TIGER K방산&우주,463250,HOLD,추가매수는 손절가 아래 금지. 재추천/거래량 증가/지지 확인 시만 분할 접근.,48060.0,51175.0,41385.0,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,matched_by_code
컴퍼니케이,307930,HOLD,추가매수는 손절가 아래 금지. 재추천/거래량 증가/지지 확인 시만 분할 접근.,9882.0,10522.5,8509.5,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,matched_by_code
