stock_name,stock_code,current_price,price_source,fetched_at
금호타이어,073240,4400.0,naver_finance,2026-06-09 00:09:47 KST
대창솔루션,096350,1898.0,naver_finance,2026-06-09 00:09:48 KST
대한해운,005880,1890.0,naver_finance,2026-06-09 00:09:50 KST
에코플라스틱,038110,2220.0,naver_finance,2026-06-09 00:09:51 KST
태림포장,011280,1825.0,naver_finance,2026-06-09 00:09:53 KST
태웅,044490,29200.0,naver_finance,2026-06-09 00:09:54 KST
HANARO K휴머노이드테마TOP10,0155N0,9890.0,naver_finance,2026-06-09 00:09:55 KST
LG유플러스,032640,15720.0,naver_finance,2026-06-09 00:09:56 KST
TIGER K방산&우주,463250,35770.0,naver_finance,2026-06-09 00:09:58 KST
컴퍼니케이,307930,7950.0,naver_finance,2026-06-09 00:09:59 KST
