순위,종목명,섹터/분야,현재가,진입판정,공격진입가,기준진입가,보수진입가,돌파진입가,손절기준가
1,대원강업,자동차/부품,5130,조건 확인 후 진입,5104,5027,4874,5284,4822
2,TIGER 미국배당다우존스,AI/소프트웨어,15570,조건 확인 후 진입,15492,15259,14792,16037,14636
3,후성,화학,13370,조건 확인 후 진입,13303,13103,12702,13771,12568
4,화신정공,자동차/부품,3410,조건 확인 후 진입,3393,3342,3240,3512,3205
5,LG헬로비전,미디어/콘텐츠,2355,조건 확인 후 진입,2343,2308,2237,2426,2214
6,KODEX 은행,AI/소프트웨어,15260,조건 확인 후 진입,15184,14955,14497,15718,14344
7,ACE 미국우주테크액티브,금융,25650,조건 확인 후 진입,25522,25137,24368,26420,24111
8,SK네트웍스,도매,13370,조건 확인 후 진입,13303,13103,12702,13771,12568
9,태양금속,자동차/부품,3065,조건 확인 후 진입,3050,3004,2912,3157,2881
10,라이콤,반도체/전자부품,7840,조건 확인 후 진입,7801,7683,7448,8075,7370
11,KODEX 미국S&P500,AI/소프트웨어,25490,조건 확인 후 진입,25363,24980,24216,26255,23961
12,TIGER 미국S&P500,AI/소프트웨어,27950,조건 확인 후 진입,27810,27391,26552,28788,26273
13,샘씨엔에스,반도체/전자부품,13550,조건 확인 후 진입,13482,13279,12872,13956,12737
14,KODEX 200타겟위클리커버드콜,AI/소프트웨어,25215,조건 확인 후 진입,25089,24711,23954,25971,23702
15,에이팩트,반도체/전자부품,9660,조건 확인 후 진입,9612,9467,9177,9950,9080
