recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status
2026-06-07_AM_9_SK네트웍스,2026-06-07,AM,9,SK네트웍스,,도매,71,"10,900","10,900",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_8_TIGER 배당커버드콜액티브,2026-06-07,AM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,67,"25,540","25,540",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_7_아바텍,2026-06-07,AM,7,아바텍,,반도체/전자부품,75,"16,150","16,150",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_6_라이콤,2026-06-07,AM,6,라이콤,,반도체/전자부품,80,"5,910","5,910",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_5_코칩,2026-06-07,AM,5,코칩,,반도체/전자부품,85,"23,500","23,500",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_4_TIGER LG그룹플러스,2026-06-07,AM,4,TIGER LG그룹플러스,,AI/소프트웨어,90,"15,140","15,140",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_3_LG헬로비전,2026-06-07,AM,3,LG헬로비전,,미디어/콘텐츠,98,"2,525","2,525",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_2_KODEX 200타겟위클리커버드콜,2026-06-07,AM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,86,"25,795","25,795",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_15_SOL AI반도체소부장,2026-06-07,AM,15,SOL AI반도체소부장,,반도체,54,"29,440","29,440",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_14_TIGER 미국S&P500,2026-06-07,AM,14,TIGER 미국S&P500,,AI/소프트웨어,57,"28,845","28,845",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_13_KODEX 미국S&P500,2026-06-07,AM,13,KODEX 미국S&P500,,AI/소프트웨어,58,"26,280","26,280",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_12_TIGER 미국배당다우존스,2026-06-07,AM,12,TIGER 미국배당다우존스,,AI/소프트웨어,60,"15,880","15,880",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_11_후성,2026-06-07,AM,11,후성,,화학,69,"11,630","11,630",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_10_미래에셋생명,2026-06-07,AM,10,미래에셋생명,,보험,77,"18,590","18,590",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-07_AM_1_ACE 미국우주테크액티브,2026-06-07,AM,1,ACE 미국우주테크액티브,,금융,99,"25,950","25,950",2026-06-07 02:37:46,0,0.00%,,,,0.00%,0.00%,tracking
2026-06-06_AM_9_SK네트웍스,2026-06-06,AM,9,SK네트웍스,,도매,71.0,"10,900","10,900",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_8_TIGER 배당커버드콜액티브,2026-06-06,AM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,67.0,"25,540","25,540",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_7_아바텍,2026-06-06,AM,7,아바텍,,반도체/전자부품,75.0,"16,150","16,150",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_6_라이콤,2026-06-06,AM,6,라이콤,,반도체/전자부품,80.0,"5,910","5,910",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_5_코칩,2026-06-06,AM,5,코칩,,반도체/전자부품,85.0,"23,500","23,500",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_4_TIGER LG그룹플러스,2026-06-06,AM,4,TIGER LG그룹플러스,,AI/소프트웨어,90.0,"15,140","15,140",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_3_LG헬로비전,2026-06-06,AM,3,LG헬로비전,,미디어/콘텐츠,98.0,"2,525","2,525",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_2_KODEX 200타겟위클리커버드콜,2026-06-06,AM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,86.0,"25,795","25,795",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_15_SOL AI반도체소부장,2026-06-06,AM,15,SOL AI반도체소부장,,반도체,54.0,"29,440","29,440",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_14_TIGER 미국S&P500,2026-06-06,AM,14,TIGER 미국S&P500,,AI/소프트웨어,57.0,"28,845","28,845",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_13_KODEX 미국S&P500,2026-06-06,AM,13,KODEX 미국S&P500,,AI/소프트웨어,58.0,"26,280","26,280",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_12_TIGER 미국배당다우존스,2026-06-06,AM,12,TIGER 미국배당다우존스,,AI/소프트웨어,60.0,"15,880","15,880",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_11_후성,2026-06-06,AM,11,후성,,화학,69.0,"11,630","11,630",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_10_미래에셋생명,2026-06-06,AM,10,미래에셋생명,,보험,77.0,"18,590","18,590",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-06_AM_1_ACE 미국우주테크액티브,2026-06-06,AM,1,ACE 미국우주테크액티브,,금융,99.0,"25,950","25,950",2026-06-07 02:37:46,1,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-05_PM_9_SK네트웍스,2026-06-05,PM,9,SK네트웍스,,도매,71.0,"10,900","10,900",2026-06-07 02:37:46,2,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
