stock_name,stock_code,current_price,price_source,fetched_at
금호타이어,073240,4405.0,naver_finance,2026-06-08 12:16:11 KST
대창솔루션,096350,1914.0,naver_finance,2026-06-08 12:16:12 KST
대한해운,005880,1935.0,naver_finance,2026-06-08 12:16:13 KST
에코플라스틱,038110,2240.0,naver_finance,2026-06-08 12:16:15 KST
태림포장,011280,1888.0,naver_finance,2026-06-08 12:16:16 KST
태웅,044490,29900.0,naver_finance,2026-06-08 12:16:18 KST
HANARO K휴머노이드테마TOP10,0155N0,10270.0,naver_finance,2026-06-08 12:16:19 KST
LG유플러스,032640,15200.0,naver_finance,2026-06-08 12:16:20 KST
TIGER K방산&우주,463250,36305.0,naver_finance,2026-06-08 12:16:21 KST
컴퍼니케이,307930,8350.0,naver_finance,2026-06-08 12:16:23 KST
