stock_name,stock_code,decision,take_profit_1,take_profit_2,stop_loss,sell_guide,price_match_status
금호타이어,073240,STOP_WATCH,5254.2,5594.75,4524.45,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",naver_finance
대창솔루션,096350,STOP_WATCH,3024.0,3220.0,2604.0,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",naver_finance
대한해운,005880,STOP_WATCH,2720.52,2896.85,2342.67,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",naver_finance
에코플라스틱,038110,STOP_WATCH,4050.0,4312.5,3487.5,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",naver_finance
태림포장,011280,STOP_WATCH,2268.0,2415.0,1953.0,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",naver_finance
태웅,044490,STOP_WATCH,43740.0,46575.0,37665.0,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",naver_finance
HANARO K휴머노이드테마TOP10,0155N0,STOP_WATCH,11880.0,12650.0,10230.0,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",naver_finance
LG유플러스,032640,HOLD,16632.0,17710.0,14322.0,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,naver_finance
TIGER K방산&우주,463250,STOP_WATCH,48060.0,51175.0,41385.0,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",naver_finance
컴퍼니케이,307930,STOP_WATCH,9882.0,10522.5,8509.5,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",naver_finance
