recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status,signal_id,snapshot_date,snapshot_time,recommendation_model,recommendation_model_name,entry_model,entry_price,source,observed_count,latest_observed_price,latest_observed_at,max_observed_price,min_observed_price,max_return_pct,min_return_pct,days_elapsed,note
,,PM,1,제주은행,,AI/소프트웨어,90.0,,,,,,,,,,,TRACKING,20260608_PM_A_BALANCED_01_제주은행,20260608,2026-06-08 19:34:36 KST,A_BALANCED,A_균형형,M0_REPORT_PRICE,,,0.0,,,,,,,0.0,추천 스냅샷 자동 저장
,,PM,2,TIGER 미국배당다우존스,,AI/소프트웨어,81.0,,,,,,,,,,,TRACKING,20260608_PM_A_BALANCED_02_TIGER_미국배당다우존스,20260608,2026-06-08 19:34:36 KST,A_BALANCED,A_균형형,M0_REPORT_PRICE,,,0.0,,,,,,,0.0,추천 스냅샷 자동 저장
,,PM,3,ACE 미국우주테크액티브,,AI/소프트웨어,76.0,,,,,,,,,,,TRACKING,20260608_PM_A_BALANCED_03_ACE_미국우주테크액티브,20260608,2026-06-08 19:34:36 KST,A_BALANCED,A_균형형,M0_REPORT_PRICE,,,0.0,,,,,,,0.0,추천 스냅샷 자동 저장
,,PM,4,라이콤,,AI/소프트웨어,82.0,,,,,,,,,,,TRACKING,20260608_PM_A_BALANCED_04_라이콤,20260608,2026-06-08 19:34:36 KST,A_BALANCED,A_균형형,M0_REPORT_PRICE,,,0.0,,,,,,,0.0,추천 스냅샷 자동 저장
,,PM,5,디아이씨,,AI/소프트웨어,77.0,,,,,,,,,,,TRACKING,20260608_PM_A_BALANCED_05_디아이씨,20260608,2026-06-08 19:34:36 KST,A_BALANCED,A_균형형,M0_REPORT_PRICE,,,0.0,,,,,,,0.0,추천 스냅샷 자동 저장
,,PM,6,RISE 200위클리커버드콜,,AI/소프트웨어,68.0,,,,,,,,,,,TRACKING,20260608_PM_A_BALANCED_06_RISE_200위클리커버드콜,20260608,2026-06-08 19:34:36 KST,A_BALANCED,A_균형형,M0_REPORT_PRICE,,,0.0,,,,,,,0.0,추천 스냅샷 자동 저장
,,PM,7,KODEX 200미국채혼합,,AI/소프트웨어,66.0,,,,,,,,,,,TRACKING,20260608_PM_A_BALANCED_07_KODEX_200미국채혼합,20260608,2026-06-08 19:34:36 KST,A_BALANCED,A_균형형,M0_REPORT_PRICE,,,0.0,,,,,,,0.0,추천 스냅샷 자동 저장
,,PM,8,미래에셋생명,,AI/소프트웨어,75.0,,,,,,,,,,,TRACKING,20260608_PM_A_BALANCED_08_미래에셋생명,20260608,2026-06-08 19:34:36 KST,A_BALANCED,A_균형형,M0_REPORT_PRICE,,,0.0,,,,,,,0.0,추천 스냅샷 자동 저장
,,PM,9,SK네트웍스,,AI/소프트웨어,65.0,,,,,,,,,,,TRACKING,20260608_PM_A_BALANCED_09_SK네트웍스,20260608,2026-06-08 19:34:36 KST,A_BALANCED,A_균형형,M0_REPORT_PRICE,,,0.0,,,,,,,0.0,추천 스냅샷 자동 저장
,,PM,10,TIGER 미국나스닥100타겟데일리커버드콜,,AI/소프트웨어,64.0,,,,,,,,,,,TRACKING,20260608_PM_A_BALANCED_10_TIGER_미국나스닥100타겟데일리커버드콜,20260608,2026-06-08 19:34:36 KST,A_BALANCED,A_균형형,M0_REPORT_PRICE,,,0.0,,,,,,,0.0,추천 스냅샷 자동 저장
